postepowanie;plik;ext;bytes;text_chars;relevant_name
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Informacja o wyborze oferty elewac.pdf;.pdf;941095;2;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Informacja z otwarcia elewacja BG.pdf;.pdf;577758;1;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Raport_z_przebiegu_otwarcia_ofert (26).pdf;.pdf;59520;7811;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Roboczy_plik_xml (1).xml;.xml;4276;4259;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/art 56 ust 2 oświad w przed podpisniem umowy.docx;.docx;17886;10777;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/info o wyb 08df17d1-4548-85a0-f222-b00001027c3b-wiadomosc.pdf;.pdf;36521;1050;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/informacja o kwocie remBG.pdf;.pdf;463599;1;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/informacja_do_prezesa.xml;.xml;5794;5776;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/kryteria ofert.xlsx;.xlsx;19825;1515;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/08df17b3-c2dd-e22a-f222-b000010234fe-wiadomosc.pdf;.pdf;34593;1466;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/Odpis_Aktualny_KRS_0000785071 (1).pdf;.pdf;43134;17965;True
